altitude,id,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks,executionTime
,200,K3_FULL,13090,3/5/2019 10:23,41.809851,,-87.616279,60653,MLK Jr Dr & 47th St,,MLK Jr Dr & 47th St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,201,K3_FULL,13083,3/5/2019 10:26,41.82168,,-87.6216,60653,Indiana Ave & 40th St,,Indiana Ave & 40th St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,202,K3_FULL,13099,3/5/2019 10:23,41.857499,,-87.646277,60616,Halsted St & 18th St,,Halsted St & 18th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,203,K3_FULL,13091,3/5/2019 10:26,41.854109,,-87.685838,60608,Western Ave & 21st St,,Western Ave & 21st St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,204,K3_FULL,13101,3/5/2019 10:26,41.794853,,-87.618691,60637,Prairie Ave & Garfield Blvd,,Prairie Ave & Garfield Blvd,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,205,K3_FULL,13088,3/5/2019 10:25,41.857901,,-87.668745,60608,Paulina St & 18th St,,Paulina St & 18th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,206,K3_FULL,13098,3/5/2019 10:24,41.847203,,-87.646795,60608,Halsted St & Archer Ave,,Halsted St & Archer Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,207,K3_FULL,13399,3/5/2019 10:26,41.84358,,-87.645368,60616,Emerald Ave & 28th St,,Emerald Ave & 28th St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,208,K3_FULL,13307,3/5/2019 10:25,41.85381,,-87.665897,60608,Ashland Ave & 21st St,,Ashland Ave & 21st St,IN_SERVICE,1,In Service,FALSE,14,3/5/2019 10:27
,209,K3_FULL,13308,3/5/2019 10:24,41.849527,,-87.640591,60616,Normal Ave & Archer Ave,,Normal Ave & Archer Ave,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,210,K3_FULL,13061,3/5/2019 10:23,41.90345,,-87.667747,60622,Ashland Ave & Division St,,Ashland Ave & Division St,IN_SERVICE,1,In Service,FALSE,27,3/5/2019 10:27
,211,K3_FULL,13016,3/5/2019 10:24,41.894448,,-87.622663,60611,St. Clair St & Erie St,,St. Clair St & Erie St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
,212,K3_FULL,13264,3/5/2019 10:23,41.889906,,-87.634266,60654,Wells St & Hubbard St,,Wells St & Hubbard St,IN_SERVICE,1,In Service,FALSE,31,3/5/2019 10:27
,213,K3_FULL,13244,3/5/2019 10:24,41.910153,,-87.68229,60622,Leavitt St & North Ave,,Leavitt St & North Ave,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,214,K3_FULL,13141,3/5/2019 10:22,41.89122,,-87.67686,60622,Damen Ave & Grand Ave,,Damen Ave & Grand Ave,IN_SERVICE,1,In Service,FALSE,23,3/5/2019 10:27
,215,K3_FULL,13134,3/5/2019 10:23,41.88137,,-87.67493,60612,Damen Ave & Madison St,,Damen Ave & Madison St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,216,K3_FULL,13256,3/5/2019 10:25,41.903029,,-87.697474,60622,California Ave & Division St,,California Ave & Division St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,217,K3_FULL,13197,3/5/2019 10:25,41.886926,,-87.656919,60607,Racine Ave (May St) & Fulton St,,Racine Ave (May St) & Fulton St,IN_SERVICE,1,In Service,FALSE,15,3/5/2019 10:27
,218,K3_FULL,13180,3/5/2019 10:23,41.856802,,-87.633879,60616,Wells St & 19th St,,Wells St & 19th St,IN_SERVICE,1,In Service,FALSE,11,3/5/2019 10:27
,219,K3_FULL,13133,3/5/2019 10:26,41.915983,,-87.677335,60622,Damen Ave & Cortland St,,Damen Ave & Cortland St,IN_SERVICE,1,In Service,FALSE,19,3/5/2019 10:27
